Image	Centroid X µm	Centroid Y µm	Area µm^2
3258.czi	22490.4	4698.3	76.556
3258.czi	16374.2	11106.1	47.0496
3258.czi	20821.3	5010.7	92.378
3258.czi	13829	10794.8	42.2189
3258.czi	8701.9	11034.9	52.3608
3258.czi	25622.4	7055.9	50.5027
3258.czi	33976.9	9957	118.1542
3258.czi	5062.6	4434.5	55.4428
3258.czi	7751.5	12054.1	44.3958
3258.czi	33003.8	1333	35.1124
3258.czi	8212	3391	61.4903
3258.czi	2535.2	8445	66.6647
3258.czi	13656.5	4482.5	55.53
3258.czi	22387.6	2879.6	58.8818
3258.czi	28342.4	4186.2	56.3253
3258.czi	20379.4	7781.2	72.864
3258.czi	22071.8	10109.8	52.1752
3258.czi	20745.8	11011.9	59.8201
3258.czi	4533.3	13160.2	38.3594
3258.czi	5888.1	6115.2	41.1969
3258.czi	11203	12335.7	69.3454
3258.czi	4123.8	12923.5	73.635
3258.czi	19605.9	2781.9	55.3622
3258.czi	28097.8	4912.3	36.5043
3258.czi	23721.3	8215.4	44.9697
3258.czi	7992.8	7588	58.8927
3258.czi	7352.9	13460.6	45.4967
3258.czi	9585.2	7850.6	51.1442
3258.czi	20795.1	5202.4	66.4007
3258.czi	21441.8	10376	52.3098
3258.czi	29810.1	4296.7	39.9554
3258.czi	32318.7	1516.4	57.0243
3258.czi	14414.5	10087.1	60.5361
3258.czi	28257.6	4262.8	54.401
3258.czi	4172.2	5057.4	50.8183
3258.czi	27111.8	6514.1	34.1187
3258.czi	11389.8	12445.7	94.2175
3258.czi	4497.2	4804.5	56.3497
3258.czi	7539.4	6273.4	79.3178
3258.czi	21571	11457.3	57.8797
3258.czi	12029.8	12377.4	78.671
3258.czi	6718.3	12972.3	48.7054
3258.czi	23939.3	7456.5	51.172
3258.czi	22281.1	6485.9	84.4189
3258.czi	20445.6	4784.1	51.2559
3258.czi	7394	9696	49.8068
3258.czi	27634.5	4298.2	36.7743
3258.czi	11162.1	495.85	42.9642
3258.czi	22582	10428.4	48.8183
3258.czi	25954.4	8104.9	89.5594
3258.czi	34046.2	1096.3	33.2276
3258.czi	12981.1	952.99	60.3233
3258.czi	5748.2	8078.9	34.6225
3258.czi	20611.4	11052.3	116.7089
3258.czi	18727.9	12114.4	34.5195
3258.czi	7086.3	12249.1	47.601
3258.czi	21175.5	11777.5	72.9065
3258.czi	4547.7	13221.7	52.536
3258.czi	7741.6	4269	37.9231
3258.czi	6043.7	3681.5	51.4952
3258.czi	12609.3	10823.7	62.5856
3258.czi	27630.2	1338.5	53.3283
3258.czi	15597.2	5741.2	91.1818
3258.czi	11504.9	6171.3	43.5869
3258.czi	10044.7	11136.8	46.4881
3258.czi	6225.7	1617.9	43.4074
3258.czi	5147.6	3796.5	45.0799
3258.czi	28392.2	4627	78.8166
3258.czi	26760.8	5830.7	48.8149
3258.czi	8731.8	8101.2	107.1436
3258.czi	8188.9	696.31	49.7684
3258.czi	21361.9	7369.5	37.1021
3258.czi	13044.2	880.4	84.574
3258.czi	25394	6033.6	41.7033
3258.czi	19779.9	11977.2	45.2817
3258.czi	16890.1	3708.3	44.8291
3258.czi	13356.2	3775.2	80.6105
3258.czi	19601.4	2181.8	41.8482
3258.czi	18068.1	11908.9	42.5687
3258.czi	20701.9	10803.4	68.2319
3258.czi	18502.8	9098.6	49.9902
3258.czi	22348.9	4853	90.0073
3258.czi	30805.9	2344.3	57.7292
3258.czi	21434.8	10346	51.7368
3258.czi	22621.6	7618	57.5055
3258.czi	29711.3	3372.6	48.6486
3258.czi	14732.7	12343.4	103.8269
3258.czi	29895.8	3366.5	64.239
3258.czi	26218.8	6727.8	51.5682
3258.czi	16832.1	6876.9	60.3823
3258.czi	20411.5	10130.4	56.6129
3258.czi	21753	3642.1	37.1864
3258.czi	13633.9	6468.1	47.7883
3258.czi	8798.7	12118.4	52.2578
3258.czi	20848.9	3004.1	72.4353
3258.czi	21203.9	11652.7	62.6783
3258.czi	8222	3376.6	53.8907
3258.czi	19530	2204.1	37.2937
3258.czi	4135.6	4642.3	52.0801
3258.czi	23753.6	2325.9	38.0737
3258.czi	17673.4	3072	110.2007
3258.czi	20879.5	7221.4	38.1156
3258.czi	19970	2464.8	60.3909
3258.czi	22136.8	11658.8	62.9794
3258.czi	11039.1	12823.2	60.7476
3258.czi	26894.8	5834	46.3978
3258.czi	6710.2	9278.3	49.8979
3258.czi	6781.4	12886.9	55.6404
3258.czi	6533	12733.2	49.0311
3258.czi	7400.1	8574.1	36.5672
3258.czi	19483.2	6384.5	75.2407
3258.czi	5954.6	8585.2	70.4425
3258.czi	26392.8	14861.4	66.9062
3258.czi	20760.2	10001.8	50.5934
3258.czi	4970.2	4472.4	38.165
3258.czi	9689.6	3421.4	71.4775
3258.czi	18368.3	9968.5	72.6073
3258.czi	3968	14346.1	51.6049
3258.czi	24834.3	2604.9	46.6238
3258.czi	21434.9	11639	55.5873
3258.czi	21981.6	4224	46.2385
3258.czi	7604.9	1363.4	63.4418
3258.czi	31705.7	4703.2	70.3609
3258.czi	5924.9	4485.4	42.4661
3258.czi	31742.6	1639.1	95.1351
3258.czi	28554.2	2619	43.3363
3258.czi	7496.9	11992.5	39.0167
3258.czi	15383.6	12046.2	108.5724
3258.czi	19962.4	10171.9	105.0571
3258.czi	7006	7494.5	84.9411
3258.czi	15381.2	674.53	86.1008
3258.czi	19368.7	5980.2	70.1571
3258.czi	18502.7	10360.2	60.4309
3258.czi	26959.7	8449.9	86.5219
3258.czi	7575.8	9391.6	84.5367
3258.czi	23286.3	8070.9	67.3327
3258.czi	18928.6	7771.9	38.9798
3258.czi	20192.2	10560.4	48.3141
3258.czi	31304.8	5765.3	45.1338
3258.czi	22781.1	5290.1	57.2809
3258.czi	14220	6956.5	85.2313
3258.czi	15097.7	3663.5	34.3622
3258.czi	19783.1	3675.6	35.2744
3258.czi	20431.2	5621	79.1753
3258.czi	16704.1	4761.5	48.0565
3258.czi	7391.4	3337.5	45.338
3258.czi	20146.6	9872.2	55.5423
3258.czi	24892.5	3942.8	42.7795
